
% Methanol - Isopropanol VLE 
% 1 atm
% T(K)  P (hPa)		x		y
%-----------------------------
337.52	101.325	1.0000	1.0000	
340.49	101.325	0.8126	0.9032		
340.79	101.325	0.7945	0.8910		
342.69	101.325	0.6864	0.8173		
343.92	101.325	0.6172	0.7652		
345.03	101.325	0.5596	0.7176		
345.93	101.325	0.5103	0.6778		
346.80	101.325	0.4634	0.6308		
348.00	101.325	0.3975	0.5621		
348.80	101.325	0.3550	0.5162		
349.51	101.325	0.3171	0.4691		
351.08	101.325	0.2379	0.3598		
351.82	101.325	0.1949	0.3022		
352.60	101.325	0.1545	0.2440		
353.19	101.325	0.1230	0.1956		
353.72	101.325	0.0930	0.1466		
353.97	101.325	0.0843	0.1243		
355.35	101.325	0.0000	0.0000
